filename,file_size,num_sections,num_imported_functions,num_exported_functions,has_signature,avg_section_entropy,label
bm4,118848,11,13,1,0,2.2898275838884388,0
ssh-add,630544,17,252,1,0,3.145306235001587,0
fileproviderctl,295840,26,154,1,0,3.2121235061988638,0
gatherheaderdoc,118848,11,13,1,0,2.2898275838884388,0
lorder,118848,11,13,1,0,2.2898275838884388,0
uucp,258016,12,106,1,0,2.8359433630847986,0
productsign,154560,22,64,1,0,3.02201843398675,0
unexpand,101600,8,20,1,0,3.0459021193736353,0
lpr,119200,7,38,1,0,3.042311016380018,0
nslookup,3962656,13,204,1,0,3.5650149025702476,0
fstyp,101344,8,14,1,0,2.6024473757526065,0
jar,135664,13,35,1,0,3.0445782033512967,0
jjs,135664,13,35,1,0,3.0445782033512967,0
m4,118848,11,13,1,0,2.2898275838884388,0
certtool,265104,15,221,1,0,3.007296746860236,0
tail,119344,10,48,1,0,2.6809087243120233,0
jstat,135664,13,35,1,0,3.0445782033512967,0
textutil,173104,19,87,1,0,2.911532633958379,0
nclist,135248,8,32,1,0,2.815219524125839,0
productbuild,308992,26,142,1,0,3.359682377554155,0
setregion,120688,6,46,1,0,3.518792707923762,0
head,101952,9,27,1,0,3.0364432886902812,0
trash,135424,15,29,1,0,2.9308207563555753,0
git-upload-archive,118848,11,13,1,0,2.2898275838884388,0
bc,350352,11,52,1,0,3.3131324639469697,0
osacompile,141024,12,116,1,0,3.1998991089771103,0
jstack,135664,13,35,1,0,3.0445782033512967,0
cpp,118848,11,13,1,0,2.2898275838884388,0
column,135248,10,34,1,0,2.6424740633631685,0
trustcachectl,122768,9,31,1,0,2.611143793598048,0
diff3,135376,9,33,1,0,3.1046060103629824,0
nfsiod,101264,6,13,1,0,3.1030352936504535,0
getopt,100912,7,5,1,0,3.0505591714095566,0
pbpaste,135440,12,27,1,0,3.1190900017212932,0
size,118848,11,13,1,0,2.2898275838884388,0
policytool,135664,13,35,1,0,3.0445782033512967,0
bintrans,136480,11,62,1,0,2.9225120058716243,0
jlink,135664,13,35,1,0,3.0445782033512967,0
syspolicy_check,480800,43,380,1,0,3.284011793482586,0
mdimport,718880,30,614,1,0,3.274240889152255,0
avconvert,170528,22,57,1,0,3.012214229807468,0
desdp,118912,11,12,1,0,2.2272005164485176,0
uttype,154800,15,67,1,0,3.292205754355466,0
mpsgraphtool,155111072,36,579,76506,0,3.312575664799541,0
perl5.34,101840,8,20,2,0,2.7186878702235924,0
crontab,171168,11,92,1,0,2.9389623103662625,0
halt,120176,10,54,1,0,3.3335745626691065,0
lex,118848,11,13,1,0,2.2898275838884388,0
zgrep,153824,11,76,1,0,2.7644357185769803,0
javadoc,135664,13,35,1,0,3.0445782033512967,0
uudecode,136480,11,62,1,0,2.9225120058716243,0
comm,101664,9,21,1,0,2.985079702950495,0
avmetareadwrite,137136,15,51,1,0,2.945237269946695,0
flex++,118848,11,13,1,0,2.2898275838884388,0
db_checkpoint,2059056,12,132,1,0,3.185115607668403,0
sourcekit-lsp,118848,11,13,1,0,2.2898275838884388,0
avbutil,420640,26,100,1,0,3.153944413046785,0
as,118848,11,13,1,0,2.2898275838884388,0
devmodectl,161952,27,56,1,0,2.432912380666864,0
opendiff,118912,11,12,1,0,2.2272005164485176,0
c89,118848,11,13,1,0,2.2898275838884388,0
cmp,102160,9,32,1,0,2.985191273416104,0
lpoptions,119488,9,43,1,0,2.7435918559359256,0
jdb,135664,13,35,1,0,3.0445782033512967,0
pathchk,101440,8,17,1,0,3.1298732279718178,0
hpmdiagnose,386512,27,74,1,0,3.2371894296934887,0
hdxml2manxml,118848,11,13,1,0,2.2898275838884388,0
lam,101552,8,19,1,0,3.110675811093193,0
pbcopy,135440,12,27,1,0,3.139876163481205,0
tiffutil,172240,16,85,1,0,2.979140320752519,0
chfn,140320,11,113,1,0,3.0423539036089378,0
usbcfwflasher,87504,14,43,1,0,2.825483372452876,0
c++,118848,11,13,1,0,2.2898275838884388,0
xmlcatalog,119488,7,43,1,0,2.8683940235497913,0
symbols,460176,28,368,1,0,3.0517041266847045,0
jmap,135664,13,35,1,0,3.0445782033512967,0
pl,136832,13,20,1,0,3.1896566386301086,0
SetFile,118848,11,13,1,0,2.2898275838884388,0
su,121904,9,80,1,0,3.0999445081501418,0
nmedit,118848,11,13,1,0,2.2898275838884388,0
nohup,101520,7,18,1,0,3.390342810524434,0
